time;thread;requestID;mamFileID;inDesignServerInstance;sessionContext;documentLockedlogSeparatoropenFilesFromResponse;status
2013-12-10 02:15:42.576;pool-2-thread-1;!!!!21!!!!;7356;http://localhost:18385->[7356];;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:15:42.580;pool-2-thread-1;!!!!21!!!!;7356;null;;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:15:42.580;pool-2-thread-2;!!!!22!!!!;7356;null;;1;null;NOTIFIED_FOR_INDS
2013-12-10 02:15:42.581;pool-2-thread-2;!!!!22!!!!;7356;http://localhost:18385->[7356];;1;null;GOT_INDS
2013-12-10 02:15:42.604;pool-2-thread-2;!!!!22!!!!;7356;http://localhost:18385->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:15:42.986;pool-2-thread-2;!!!!22!!!!;7356;http://localhost:18385->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:15:42.986;pool-2-thread-2;!!!!22!!!!;7356;http://localhost:18385->[7356];;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:15:42.992;pool-2-thread-2;!!!!22!!!!;7356;null;;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:15:52.231;pool-2-thread-3;!!!!23!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:15:52.231;pool-2-thread-3;!!!!23!!!!;7356;http://localhost:18385->[7356];;1;null;GOT_INDS
2013-12-10 02:15:52.235;pool-2-thread-3;!!!!23!!!!;7356;http://localhost:18385->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:15:52.340;pool-2-thread-3;!!!!23!!!!;7356;http://localhost:18385->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:15:52.340;pool-2-thread-3;!!!!23!!!!;7356;http://localhost:18385->[7356];;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:15:52.344;pool-2-thread-3;!!!!23!!!!;7356;null;;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:15:58.472;pool-2-thread-4;!!!!24!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:15:58.472;pool-2-thread-4;!!!!24!!!!;7356;http://localhost:18385->[7356];;1;null;GOT_INDS
2013-12-10 02:15:58.476;pool-2-thread-4;!!!!24!!!!;7356;http://localhost:18385->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:15:58.514;pool-2-thread-4;!!!!24!!!!;7356;http://localhost:18385->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:15:58.515;pool-2-thread-4;!!!!24!!!!;7356;http://localhost:18385->[7356];;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:15:58.520;pool-2-thread-4;!!!!24!!!!;7356;null;;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:16:04.100;pool-2-thread-5;!!!!25!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:16:04.100;pool-2-thread-5;!!!!25!!!!;7356;http://localhost:18385->[7356];;1;null;GOT_INDS
2013-12-10 02:16:04.104;pool-2-thread-5;!!!!25!!!!;7356;http://localhost:18385->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:16:04.145;pool-2-thread-5;!!!!25!!!!;7356;http://localhost:18385->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:16:04.145;pool-2-thread-5;!!!!25!!!!;7356;http://localhost:18385->[7356];;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:16:04.149;pool-2-thread-5;!!!!25!!!!;7356;null;;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:16:06.607;pool-2-thread-6;!!!!26!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:16:06.608;pool-2-thread-6;!!!!26!!!!;7356;http://localhost:18385->[7356];;1;null;GOT_INDS
2013-12-10 02:16:06.612;pool-2-thread-6;!!!!26!!!!;7356;http://localhost:18385->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:16:07.107;pool-2-thread-6;!!!!26!!!!;7356;http://localhost:18385->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:16:07.107;pool-2-thread-6;!!!!26!!!!;7356;http://localhost:18385->[7356];;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:16:07.112;pool-2-thread-6;!!!!26!!!!;7356;null;;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:16:07.601;pool-2-thread-7;!!!!27!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:16:07.602;pool-2-thread-7;!!!!27!!!!;7356;http://localhost:18385->[7356];;1;null;GOT_INDS
2013-12-10 02:16:07.606;pool-2-thread-7;!!!!27!!!!;7356;http://localhost:18385->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:16:07.951;pool-2-thread-7;!!!!27!!!!;7356;http://localhost:18385->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:16:07.951;pool-2-thread-7;!!!!27!!!!;7356;http://localhost:18385->[7356];;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:16:07.957;pool-2-thread-7;!!!!27!!!!;7356;null;;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:16:13.494;pool-2-thread-8;!!!!28!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:16:13.494;pool-2-thread-8;!!!!28!!!!;7356;http://localhost:18385->[7356];;1;null;GOT_INDS
2013-12-10 02:16:13.498;pool-2-thread-8;!!!!28!!!!;7356;http://localhost:18385->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:16:17.992;pool-2-thread-8;!!!!28!!!!;7356;http://localhost:18385->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:16:17.992;pool-2-thread-8;!!!!28!!!!;7356;http://localhost:18385->[7356];;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:16:17.997;pool-2-thread-8;!!!!28!!!!;7356;null;;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:16:19.243;pool-2-thread-9;!!!!29!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:16:19.243;pool-2-thread-9;!!!!29!!!!;7356;http://localhost:18385->[7356];;1;null;GOT_INDS
2013-12-10 02:16:19.249;pool-2-thread-9;!!!!29!!!!;7356;http://localhost:18385->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:16:20.217;pool-2-thread-9;!!!!29!!!!;7356;http://localhost:18385->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:16:20.217;pool-2-thread-9;!!!!29!!!!;7356;http://localhost:18385->[7356];;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:16:20.221;pool-2-thread-9;!!!!29!!!!;7356;null;;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:16:21.194;pool-2-thread-10;!!!!30!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:16:21.194;pool-2-thread-10;!!!!30!!!!;7356;http://localhost:18385->[7356];;1;null;GOT_INDS
2013-12-10 02:16:21.196;pool-2-thread-1;!!!!31!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:16:21.199;pool-2-thread-10;!!!!30!!!!;7356;http://localhost:18385->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:16:21.199;pool-2-thread-1;!!!!31!!!!;7356;null;;1;null;WAITING_FOR_INDS
2013-12-10 02:16:21.562;pool-2-thread-10;!!!!30!!!!;7356;http://localhost:18385->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:16:21.562;pool-2-thread-10;!!!!30!!!!;7356;http://localhost:18385->[7356];;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:16:21.566;pool-2-thread-10;!!!!30!!!!;7356;null;;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:16:21.566;pool-2-thread-1;!!!!31!!!!;7356;null;;1;null;NOTIFIED_FOR_INDS
2013-12-10 02:16:21.566;pool-2-thread-1;!!!!31!!!!;7356;http://localhost:18385->[7356];;1;null;GOT_INDS
2013-12-10 02:16:21.572;pool-2-thread-1;!!!!31!!!!;7356;http://localhost:18385->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:16:22.003;pool-2-thread-1;!!!!31!!!!;7356;http://localhost:18385->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:16:22.003;pool-2-thread-1;!!!!31!!!!;7356;http://localhost:18385->[7356];;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:16:22.008;pool-2-thread-1;!!!!31!!!!;7356;null;;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:16:28.361;pool-2-thread-2;!!!!32!!!!;7356;null;API__52a62c2434a208.45653337;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:16:28.361;pool-2-thread-2;!!!!32!!!!;7356;http://localhost:18385->[7356];API__52a62c2434a208.45653337;1;null;GOT_INDS
2013-12-10 02:16:28.366;pool-2-thread-2;!!!!32!!!!;7356;http://localhost:18385->[7356];API__52a62c2434a208.45653337;1;null;SENDING_TO_INDS
2013-12-10 02:16:28.594;pool-2-thread-2;!!!!32!!!!;7356;http://localhost:18385->[7356];API__52a62c2434a208.45653337;1;null;RECEIVED_FROM_INDS
2013-12-10 02:16:28.595;pool-2-thread-2;!!!!32!!!!;7356;http://localhost:18385->[7356];API__52a62c2434a208.45653337;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:16:28.599;pool-2-thread-2;!!!!32!!!!;7356;null;API__52a62c2434a208.45653337;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:16:28.653;pool-2-thread-3;!!!!33!!!!;7356;null;;1;null;RECEIVED_FROM_WEBSERVER
2013-12-10 02:16:28.653;pool-2-thread-3;!!!!33!!!!;7356;http://localhost:18385->[7356];;1;null;GOT_INDS
2013-12-10 02:16:28.657;pool-2-thread-3;!!!!33!!!!;7356;http://localhost:18385->[7356];;1;null;SENDING_TO_INDS
2013-12-10 02:16:29.741;pool-2-thread-3;!!!!33!!!!;7356;http://localhost:18385->[7356];;1;null;RECEIVED_FROM_INDS
2013-12-10 02:16:29.742;pool-2-thread-3;!!!!33!!!!;7356;http://localhost:18385->[7356];;1;[7356];SUCCESS_FROM_INDS
2013-12-10 02:16:29.747;pool-2-thread-3;!!!!33!!!!;7356;null;;1;[7356];SENT_TO_WEBSERVER
2013-12-10 02:16:29.814;pool-2-thread-4;!!!!34!!!!;7356;null;API__52a62c2434a208.45653337;1;null;RECEIVED_FROM_WEBSERVER
