2013-12-10 19:15:19 DEBUG loadBalancerLogger:15 - *************************Starting loadBalancerLogger************************
2013-12-10 19:27:17 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:27:22 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:27:22 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:27:27 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:27:27 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:27:32 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:27:32 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:27:37 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:27:37 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:27:42 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:27:42 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:27:47 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:27:47 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:27:52 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:27:52 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:27:57 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:27:57 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:28:02 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:28:02 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18386 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
2013-12-10 19:28:07 ERROR loadBalancerLogger:19 - com.cs.loadbalancer.indesign.utils.http.exception.ConnectionException: org.apache.http.conn.HttpHostConnectException: Connect to localhost:18385 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1, localhost/fe80:0:0:0:0:0:0:1%1] failed: Connection refused
